d,num_groups,b_mla,m_per_group,matrix_idx,tp,m,n,k,time_us,throughput_TFLOPS,bandwidth_GBps
96,3,64,32,8,1,32,7168,2048,34,83,1344
96,3,128,64,7,1,64,4096,7168,67,167,1349
96,3,128,64,8,1,64,7168,2048,34,161,1350
96,3,256,128,7,1,128,4096,7168,70,324,1351
96,3,256,128,8,1,128,7168,2048,37,303,1352
144,2,8,4,7,1,4,4096,7168,43,11,1347
144,2,8,4,8,1,4,7168,2048,21,11,1395
144,2,16,8,7,1,8,4096,7168,43,22,1371
144,2,16,8,8,1,8,7168,2048,21,22,1381
144,2,32,16,7,1,16,4096,7168,43,43,1351
144,2,32,16,8,1,16,7168,2048,23,42,1341
144,2,64,32,7,1,32,4096,7168,44,85,1354
144,2,64,32,8,1,32,7168,2048,23,84,1357
144,2,128,64,7,1,64,4096,7168,45,167,1348
144,2,128,64,8,1,64,7168,2048,24,161,1346
144,2,256,128,7,1,128,4096,7168,47,324,1351
144,2,256,128,8,1,128,7168,2048,25,302,1348
288,1,8,8,7,1,8,4096,7168,22,22,1368
288,1,8,8,8,1,8,7168,2048,12,21,1334
288,1,16,16,7,1,16,4096,7168,21,43,1363
288,1,16,16,8,1,16,7168,2048,11,42,1335
288,1,32,32,7,1,32,4096,7168,22,85,1344
288,1,32,32,8,1,32,7168,2048,11,84,1356
288,1,64,64,7,1,64,4096,7168,23,167,1351
288,1,64,64,8,1,64,7168,2048,11,161,1348
288,1,128,128,7,1,128,4096,7168,24,324,1349
288,1,128,128,8,1,128,7168,2048,13,303,1352
288,1,256,256,7,1,256,4096,7168,26,576,1276
288,1,256,256,8,1,256,7168,2048,14,537,1349
